#time, Temp[]
209.207,0.63
209.305,0.63
209.406,0.63
209.505,0.63
209.606,0.63
209.705,0.63
209.807,0.63
209.905,0.63
210.006,0.63
210.105,0.63
210.207,0.63
210.305,0.63
210.406,0.63
210.505,0.63
210.607,0.63
210.705,0.63
210.806,0.63
210.905,0.63
211.007,0.63
211.105,0.63
211.205,0.63
211.305,0.63
211.406,0.63
211.505,0.63
211.606,0.63
211.705,0.63
211.806,0.63
211.905,0.63
212.007,0.63
212.105,0.63
212.206,0.63
212.305,0.63
212.407,0.63
212.505,0.63
212.607,0.63
212.705,0.63
212.807,0.63
212.905,0.63
213.007,0.63
213.105,0.63
213.207,0.63
213.305,0.63
213.407,0.63
213.505,0.63
213.605,0.63
213.705,0.63
213.807,0.63
213.905,0.63
214.007,0.63
214.105,0.63
214.207,0.63
214.305,0.63
214.407,0.63
214.505,0.63
214.607,0.63
214.705,0.63
214.807,0.63
214.905,0.63
215.007,0.63
215.105,0.63
215.207,0.63
215.305,0.63
215.406,0.63
215.505,0.63
215.607,0.63
215.705,0.63
215.807,0.63
215.905,0.63
216.007,0.63
216.105,0.63
216.207,0.63
216.305,0.63
216.407,0.63
216.505,0.63
216.606,0.63
216.705,0.63
216.806,0.63
216.905,0.63
217.007,0.63
217.105,0.63
217.206,0.63
217.305,0.63
217.407,0.63
217.505,0.63
217.607,0.63
217.705,0.63
217.807,0.63
217.905,0.63
218.007,0.63
218.105,0.63
218.207,0.63
218.305,0.63
218.407,0.63
218.505,0.63
218.607,0.63
218.705,0.63
218.807,0.63
218.905,0.63
219.007,0.63
219.105,0.63
219.207,0.63
219.305,0.63
219.407,0.63
219.505,0.63
219.605,0.63
219.705,0.63
219.807,0.63
219.905,0.63
220.007,0.63
220.105,0.63
220.207,0.63
220.305,0.63
220.407,0.63
220.505,0.63
220.606,0.63
220.705,0.63
220.806,0.63
220.905,0.63
221.007,0.63
221.105,0.63
221.207,0.63
221.305,0.63
221.407,0.63
221.505,0.63
221.607,0.63
221.705,0.63
221.806,0.63
221.905,0.63
222.006,0.63
222.105,0.63
222.207,0.63
222.305,0.63
222.407,0.63
222.505,0.63
222.607,0.63
222.705,0.63
222.807,0.63
222.905,0.63
223.007,0.63
223.105,0.63
223.207,0.63
223.305,0.63
223.407,0.63
223.505,0.63
223.606,0.63
223.705,0.63
223.807,0.63
223.905,0.63
224.007,0.63
224.105,0.63
224.207,0.63
224.305,0.63
224.406,0.63
224.505,0.63
224.606,0.63
224.705,0.63
224.807,0.63
224.905,0.63
225.005,0.63
225.105,0.63
225.207,0.63
225.305,0.63
225.407,0.63
225.505,0.63
225.607,0.63
225.705,0.63
225.806,0.63
225.905,0.63
226.006,0.63
226.105,0.63
226.207,0.63
226.305,0.63
226.405,0.63
226.505,0.63
226.607,0.63
226.705,0.63
226.806,0.63
226.905,0.63
227.006,0.63
227.105,0.63
227.205,0.63
227.305,0.63
227.407,0.63
227.505,0.63
227.607,0.63
227.705,0.63
227.805,0.63
227.905,0.63
228.006,0.63
228.105,0.63
228.207,0.63
228.305,0.63
228.407,0.63
228.505,0.63
228.607,0.63
228.705,0.63
228.807,0.63
228.905,0.63
229.007,0.63
229.105,0.63
229.205,0.63
229.305,0.63
229.407,0.63
229.505,0.63
229.607,0.63
229.705,0.63
229.807,0.63
229.905,0.63
230.006,0.63
230.105,0.63
230.207,0.63
230.305,0.63
230.406,0.63
230.505,0.63
230.605,0.63
230.705,0.63
230.806,0.63
230.905,0.63
231.007,0.63
231.105,0.63
231.207,0.63
231.305,0.63
231.406,0.63
231.505,0.63
231.606,0.63
231.705,0.63
231.806,0.63
231.905,0.63
232.006,0.63
232.105,0.63
232.207,0.63
232.305,0.63
232.407,0.63
232.505,0.63
232.607,0.63
232.705,0.63
232.807,0.63
232.905,0.63
233.006,0.63
233.105,0.63
233.207,0.63
233.305,0.63
233.405,0.63
233.505,0.63
233.607,0.63
233.705,0.63
233.807,0.63
233.905,0.63
234.007,0.63
234.105,0.63
234.207,0.63
234.305,0.63
234.407,0.63
234.505,0.63
234.607,0.63
234.705,0.63
234.807,0.63
234.905,0.63
235.006,0.63
235.105,0.63
235.207,0.63
235.305,0.63
235.406,0.63
235.505,0.63
235.607,0.63
235.705,0.63
235.806,0.63
235.905,0.63
236.007,0.63
236.105,0.63
236.207,0.63
236.305,0.63
236.406,0.63
236.505,0.63
236.606,0.63
236.705,0.63
236.807,0.63
236.905,0.63
237.007,0.63
237.105,0.63
237.207,0.63
237.305,0.63
237.405,0.63
237.505,0.63
237.607,0.63
237.705,0.63
237.807,0.63
237.905,0.63
238.007,0.63
238.105,0.63
238.207,0.63
238.305,0.63
238.407,0.63
238.505,0.63
238.607,0.63
238.705,0.63
238.805,0.63
238.905,0.63
239.005,0.63
239.105,0.63
239.207,0.63
239.305,0.63
239.406,0.63
239.505,0.63
239.606,0.63
239.705,0.63
239.806,0.63
239.905,0.63
